SSN,DoB,Gender,FirstName,MiddleName,LastName,EyeColor,StreetAddress,CityName,State,ZipCode,CountryCode,PhoneNumber,EmailAddress,DriverNumber,DriverState,DriverExpiry,Latitude,Longitude,IsVeteran,HasLienRecord,HasBankruptcyRecord,HasArrestRecord,HasCriminalRecord
789-53-8095,1943-12-21,Male,Charles,Christopher,Bainton,Brown,271 Business Road,New York City,NY,14411,US,739-729-0062,charles.bainton@mail.com,794-764-924,NY,2021-11-18,40.4800272879464,-73.9894666523065,True,True,False,True,True
934-38-0097,1955-02-19,Male,Lucien,Clifford,Roddis,Hazel,969 Rose Street,Kings Park,NY,11392,US,313-359-7089,lucien.roddis@yahoo.com,521-726-696,NY,2019-07-29,40.8825872234865,-73.2562152027515,False,False,False,True,False
476-98-0597,1958-07-12,Female,Donna,Sara,Shoulder,Green,11 Main Drive,New York City,NY,10061,US,974-453-6740,DonnaShoulder58@yahoo.com,762-038-077,NY,2021-09-24,40.7311184733975,-73.8805425555985,True,False,False,False,False
150-84-8508,1961-07-20,Male,Thomas,Eric,Santos,Hazel,3338 Cross Road,New York City,NY,11233,US,556-844-3212,ThomasSantos61@hotmail.com,917-635-714,NY,2022-09-04,40.6670371103802,-73.8854285143451,False,False,False,True,False
938-16-5501,1940-03-05,Male,Rupert,A.,Hudson,Blue,3 Riverside Avenue,Borough Of Queens,NY,14288,US,115-348-7734,rupert5172@mail.com,366-021-696,NY,2018-12-25,40.8040275033245,-73.913078301786,True,False,False,False,False
144-34-3682,1973-05-26,Female,Pam,R.,Ineson,Hazel,5501 Bank Drive,Borough of Queens,NY,10105,US,527-406-3297,pam.ineson@yahoo.com,727-858-771,NY,2017-03-10,40.5960929518311,-73.9167027108925,False,False,False,False,False
088-30-0289,1970-05-28,Male,James,David,George,Hazel,1169 Park Boulevard,Borough of Queens,NY,11499,US,273-415-3419,,875-211-812,NY,2022-08-31,40.682174445036,-73.8344519662601,False,False,False,False,False
455-81-2703,1960-10-18,Male,Jason,J.,Sugrue,Hazel,1023 Church Road,Borough Of Queens,NY,12232,US,363-577-8076,JasonSugrue60@outbox.com,869-441-839,NY,2020-03-12,40.6719215595822,-73.8510943244867,True,False,False,False,False
571-10-8689,1974-06-19,Female,Patricia,Latoya,Prather,Green,1625 College Street,Borough of Queens,NY,12244,US,689-784-6197,,308-969-150,NY,2022-08-23,40.6660247658644,-73.8386223740259,False,False,False,False,False
892-40-4019,1963-03-02,Male,Ian,Thomas,Dunsmore,Gray,26 Chestnut Drive,Borough of Queens,NY,12927,US,515-500-6700,ian6315@gmail.com,782-109-229,NY,2022-09-07,40.6812672964213,-73.8578886962444,False,False,False,False,False
286-64-0463,1959-12-24,Female,Stacey,Cynthia,Dada,Brown,439 Queens Drive,New York City,NY,10509,US,537-796-3282,stacey5976@yahoo.com,590-066-109,NY,2018-05-29,40.6735768104094,-73.9927575102412,False,True,False,False,False
525-99-8708,1952-08-10,Female,Doris,Deborah,Link,Brown,4184 Willow Boulevard,Brooklyn,NY,11421,US,513-911-2296,doris3532@yahoo.com,188-947-340,NY,2019-01-27,40.6837428816664,-73.9539728599132,False,False,False,False,False
407-17-8210,1943-01-07,Male,Don,M.,Thompson,Blue,2 Tower Avenue,New York City,NY,12133,US,846-462-9581,DonThompson43@outbox.com,305-769-478,NY,2016-10-26,40.7068349983819,-73.9653290198654,True,True,False,False,False
994-27-0594,1953-11-07,Male,Hugh,J.,Bray,Green,22 Park Road,Jamaica,NY,11963,US,375-614-5042,hugh.bray@outlook.com,278-445-962,NY,2017-08-26,40.6930463634828,-73.8121754805234,True,False,False,True,True
033-80-2868,1954-11-20,Male,Dominic,Theodore,Flores,Hazel,27 Oak Avenue,Utica,NY,14122,US,149-816-1562,dominic5483@mail.com,200-279-357,NY,2020-05-10,43.0987587062527,-75.2324105710455,True,False,False,False,False
336-63-1224,1957-08-26,Female,Amy,C.,Glidden,Brown,11 Mill Street,Utica,NY,11937,US,645-221-8784,AmyGlidden57@hotmail.com,350-614-782,NY,2021-04-26,43.1030104331352,-75.2104531585817,False,False,False,False,False
292-00-0009,1958-03-16,Female,Mary,Louise,Reddy,Hazel,4 Lime Drive,Utica,NY,14387,US,745-460-5876,mary.reddy@aol.com,252-520-212,NY,2022-05-02,43.0913007569986,-75.2393092039182,False,False,False,False,False
550-44-8219,1961-07-27,Male,William,D.,McQuillin,Blue,239 Church Road,Utica,NY,14028,US,936-113-5507,WilliamMcQuillin61@aol.com,819-828-667,NY,2020-06-18,43.0969380210134,-75.228721082211,False,False,False,False,False
483-04-3199,1957-07-13,Male,Joseph,David,Tasker,Brown,12 Elm Street,Lake Mohegan,NY,13572,US,324-604-9615,joseph5730@yahoo.com,632-792-941,NY,2022-01-04,41.3163023747664,-73.8500086614149,True,True,False,False,False
747-66-9878,1969-08-05,Male,Thomas,J.,Nguyen,Hazel,343 Ford Road,Lake Mohegan,NY,11697,US,815-125-0117,ThomasNguyen69@yahoo.com,583-930-781,NY,2020-12-29,41.3181416848697,-73.8459205099952,False,False,False,False,False
662-99-7908,1946-01-19,Male,Paul,Rakesh,Johnson,Brown,245 Bay Street,Borough Of Queens,NY,12216,US,686-668-5028,PaulJohnson46@hotmail.com,,,1900-01-01,40.7445032824476,-73.8384552802036,False,False,False,False,False
696-68-5262,1968-07-01,Male,M.,L.,Steck,Brown,23 Sycamore Avenue,New York City,NY,11116,US,552-839-9621,m.8002@aol.com,390-856-365,NY,2018-01-24,40.6665756208049,-73.7378123461791,False,False,False,True,True
198-44-7780,1948-07-08,Male,Richard,D.,Mathur,Brown,13 Church Road,New York City,NY,10258,US,637-413-0597,RichardMathur48@gmail.com,136-178-014,NY,2016-09-15,40.6143071509668,-74.0485678721082,True,True,False,False,False
872-56-2903,1962-04-19,Female,Susan,Kristi,Burrus,Hazel,6733 Vale Avenue,New York City,NY,13060,US,591-850-7090,susan6279@outbox.com,561-036-711,NY,2020-08-16,40.6483221100083,-74.0346968639764,False,False,False,False,False
573-29-4699,1972-11-08,Male,Christopher,M.,Stanley,Green,1496 Park Street,New York City,NY,14484,US,606-610-4613,christopher6948@hotmail.com,265-644-640,NY,2021-03-03,40.8570307578076,-73.9086260587607,False,False,False,False,False
980-46-2416,1941-09-16,Female,Irene,S.,Hayden,Green,188 Boundary Drive,Watervliet,NY,10885,US,772-478-2574,irene1979@aol.com,678-964-005,NY,2023-06-20,42.7312200200954,-73.7136715168516,False,False,False,True,False
960-37-1898,1957-02-26,Male,Kevin,M.,Jefferson,Green,488 Rose Avenue,New York City,NY,10758,US,651-591-1728,KevinJefferson57@mail.com,616-807-656,NY,2021-05-08,40.7970393480181,-73.9608186500088,True,False,False,False,False
921-59-0846,1979-08-13,Female,Elizabeth,Constance,Stoddard,Hazel,88 Park Drive,New York City,NY,11424,US,863-702-4788,elizabeth5753@yahoo.com,132-628-895,NY,2017-02-25,40.4882240404706,-74.042069445796,False,True,False,False,False
389-23-8005,1963-03-08,Female,Elaine,E.,Altman,Green,2412 Field Drive,New York City,NY,13197,US,998-926-0397,elaine6350@gmail.com,151-595-792,NY,2023-06-26,40.5606287327561,-74.0178811021302,False,True,False,False,False
081-19-7045,1949-03-31,Male,Kenny,Christopher,Bissett,Green,9677 Fifth Street,New York City,NY,14455,US,292-380-1504,kenny4933@mail.com,988-061-347,NY,2017-09-29,40.6311232839451,-74.0202024804321,False,True,False,True,True
624-09-7591,1963-03-15,Male,Harry,T.,Bowles,Blue,82 Park Avenue,New York City,NY,14692,US,863-125-7172,harry6368@gmail.com,449-602-247,NY,2017-06-08,40.9364833233831,-74.2373943323949,True,False,False,False,False
628-66-3383,1965-06-07,Female,Karen,E.,Turpin,Blue,3630 Green Boulevard,New York City,NY,13708,US,741-496-4007,KarenTurpin65@outbox.com,815-056-330,NY,2019-11-30,40.8835246525842,-73.8416208404663,False,True,False,False,False
653-69-0456,1965-06-05,Male,Duane,O.,Groleau,Hazel,385 Green Boulevard,New York City,NY,11603,US,955-600-5719,DuaneGroleau65@aol.com,865-157-618,NY,2018-09-19,40.7193822730261,-74.0240201630889,False,False,False,False,False
926-99-1683,1980-11-03,Male,Joseph,Minal,Walton,Blue,607 Church Road,New York City,NY,11230,US,331-268-5613,,488-270-068,NY,2022-07-24,40.7442003974877,-73.9841911916549,False,False,False,False,False
937-15-2555,1968-06-05,Female,Mary,Shelli,Terry,Brown,669 Green Avenue,New York City,NY,12083,US,459-145-7595,mary6849@outbox.com,438-514-916,NY,2016-09-29,40.758232599641,-73.9092360488614,False,False,False,False,False
459-23-5344,1943-06-18,Female,Maria,Diane,Marra,Blue,52 Bridge Drive,Newburgh,NY,11884,US,782-391-7836,maria4140@outlook.com,677-384-116,NY,2019-03-17,41.49580361093,-74.0139979267134,False,False,False,False,False
625-44-0228,1953-11-19,Male,K.,J.,Miller,Brown,8484 Vale Road,New York City,NY,14655,US,360-453-1531,K.Miller53@outlook.com,828-639-105,NY,2022-11-14,40.7014590866198,-74.0013251462597,True,True,True,False,False
745-00-3627,1969-07-21,Female,Latasha,L.,Carter,Brown,119 Park Street,New York City,NY,10673,US,502-425-4464,LatashaCarter69@yahoo.com,313-347-442,NY,2017-07-17,40.6502792613553,-73.9546463518816,False,False,False,False,False
034-93-7728,1963-11-14,Female,Gladys,Florence,Murgatroyd,Hazel,2 Edge Street,New York City,NY,13886,US,510-668-7600,gladys6338@outlook.com,932-706-055,NY,2020-10-19,40.695539216455,-74.2035213227274,False,False,False,False,False
688-59-8886,1946-06-13,Female,Anne,D.,Costa,Blue,103 Park Avenue,Borough Of Queens,NY,10805,US,436-518-1582,anne7592@outlook.com,653-020-417,NY,2021-12-14,40.5831842726564,-73.9977183675993,False,True,False,False,False
620-69-2693,1941-02-15,Male,Robert,G.,Archie,Gray,6 Trinity Road,Borough Of Queens,NY,10921,US,522-533-6900,robert1422@yahoo.com,428-961-901,NY,2022-05-09,40.6948507771415,-73.7681780505776,True,True,False,False,False
056-70-3860,1971-05-30,Male,Darrin,C.,Suggs,Green,1983 Green Avenue,Borough of Queens,NY,10919,US,503-128-4066,darrin.suggs@gmail.com,751-525-611,NY,2021-06-11,40.7206503630304,-73.8062984415702,False,False,False,False,False
300-08-0831,1960-04-24,Female,Jennifer,Lissa,Scott,Brown,26 Trinity Boulevard,Borough of Queens,NY,12108,US,412-669-6810,jennifer7184@aol.com,855-064-028,NY,2023-03-14,40.6848305636643,-73.8432029645229,False,False,False,False,False
915-49-3266,1978-03-03,Female,Frances,L.,Southgate,Hazel,2790 Broad Street,New York City,NY,13247,US,516-601-4964,frances7925@hotmail.com,364-529-692,NY,2021-02-13,40.7428541527782,-74.2305100341935,False,True,False,False,False
304-24-3069,1977-11-28,Female,Veronica,M.,Latto,Hazel,21 Central Boulevard,Borough of Queens,NY,10194,US,561-794-7029,veronica6157@outbox.com,491-396-775,NY,2020-05-15,40.7277915057843,-73.8952665512015,False,False,False,False,False
176-20-6122,1956-04-01,Male,Gary,W.,Huggan,Hazel,4677 Beech Street,Borough of Queens,NY,12592,US,698-860-4984,GaryHuggan56@aol.com,623-782-591,NY,2020-04-30,40.7329935025993,-73.7802858498613,False,True,False,False,False
440-00-4840,1946-01-07,Male,B.,R.,Cano,Green,478 Trinity Avenue,Long Island City,NY,12891,US,826-479-4787,b.1104@gmail.com,508-413-033,NY,2020-07-09,40.7344920768375,-73.9392140797685,False,False,False,False,False
384-78-6008,1947-01-09,Male,Jimmy,C.,Cliffe,Hazel,1254 Point Avenue,New York City,NY,13516,US,827-189-4113,jimmy.cliffe@aol.com,340-571-377,NY,2020-11-27,40.6043548134385,-73.9246756644932,True,False,False,False,False
666-12-8317,1968-04-04,Female,Amy,Olivia,Quinn,Brown,328 Main Road,New York City,NY,11016,US,576-853-5714,amy6850@outbox.com,356-226-357,NY,2016-10-23,40.8806892198335,-74.0019516822484,False,False,False,False,False
658-04-2366,1970-11-30,Male,Luis,,Gillibrand,Hazel,1 Park Street,New York City,NY,14833,US,641-905-8446,LuisGillibrand70@outlook.com,,,1900-01-01,40.6602076565767,-74.2262721925621,False,False,False,True,False
623-60-6168,1947-05-15,Male,Ernest,Quintin,Cervantes,Hazel,2 Commercial Road,Kings Park,NY,12830,US,634-402-4120,,962-321-450,NY,2022-09-10,40.8754640432871,-73.2605248058051,True,False,False,True,False
063-59-5157,1962-07-21,Female,Robina,M.,Jordan,Hazel,8 Yew Street,Kings Park,NY,14613,US,411-131-9815,robina913@hotmail.com,942-174-674,NY,2022-11-11,40.8852783455219,-73.2612687003096,False,True,False,False,False
743-65-0727,1956-03-28,Female,G.,C.,Harmsworth,Hazel,42 Riverside Street,Kings Park,NY,13472,US,384-741-9667,g.8460@yahoo.com,,,1900-01-01,40.8901287064105,-73.2463185779861,False,False,False,False,False
667-88-2788,1975-05-09,Male,Stanley,T.,Mistry,Brown,6 County Boulevard,Kings Park,NY,14919,US,609-276-8399,,357-131-294,NY,2019-05-16,40.8908565694505,-73.2666528957246,False,False,False,False,False
040-88-8640,1947-04-11,Male,A.,R.,White,Hazel,9 Main Drive,New York City,NY,11289,US,130-648-2605,a.8009@hotmail.com,662-261-269,NY,2018-07-29,40.7196714549001,-74.0198954380387,True,False,False,False,False
778-63-7403,1978-07-11,Male,David,Richard,Walsh,Green,6 Main Street,Kings Park,NY,14141,US,960-911-3280,DavidWalsh78@outbox.com,640-172-517,NY,2023-03-16,40.8878277165831,-73.2571548890624,False,True,False,False,False
389-28-6396,1957-03-04,Female,Marylyn,Crystal,Wilkerson,Hazel,7749 Park Street,Brentwood,NY,10882,US,263-668-4738,MarylynWilkerson57@yahoo.com,110-884-423,NY,2017-02-21,40.7875316968148,-73.2463742704314,False,False,False,False,False
232-35-8532,1955-02-21,Male,M.,H.,Heslop,Brown,26 Maple Road,Delmar,NY,11060,US,647-167-0079,m..heslop@gmail.com,107-876-173,NY,2020-01-30,42.6201336108892,-73.8290956752826,True,False,False,False,False
512-53-9309,1953-05-15,Male,Scott,Vincent,Izatt,Brown,9 Field Avenue,Delmar,NY,10467,US,944-391-4335,scott5332@hotmail.com,531-954-698,NY,2021-12-04,42.6268176924515,-73.8424239854398,False,False,False,False,False
665-53-2074,1966-09-25,Male,N.,M.,Stocks,Brown,21 Main Boulevard,Delmar,NY,12832,US,504-856-3387,n..stocks@hotmail.com,623-341-173,NY,2017-12-27,42.6280868210911,-73.8374366605166,False,False,False,False,False
789-47-2131,1978-12-28,Male,Nicholas,Bryan,Dayton,Hazel,1013 Church Boulevard,Delmar,NY,13269,US,868-215-6064,NicholasDayton78@hotmail.com,299-139-199,NY,2018-04-03,42.6222510867616,-73.8325320079711,False,False,False,False,False
496-50-1479,1944-05-06,Male,David,R.,Maziarz,Hazel,3821 Central Boulevard,Brooklyn,NY,10551,US,628-850-5494,DavidMaziarz44@gmail.com,324-375-626,NY,2021-04-07,40.7402700481244,-73.8723579260518,False,False,False,False,False
416-12-0881,1944-10-01,Male,Paul,A.,Simpson,Gray,97 Bank Boulevard,Borough Of Queens,NY,13446,US,728-740-6717,paul4457@outlook.com,644-304-488,NY,2018-03-28,40.6408447605845,-73.8465115749804,True,False,False,False,False
786-20-4237,1975-08-18,Female,Eva,Linda,Garcia,Gray,71 Head Avenue,Borough of Queens,NY,10918,US,672-683-9162,eva7909@yahoo.com,375-736-530,NY,2022-06-06,40.65981573309,-73.7173562077577,False,True,False,False,False
077-14-1415,1968-07-20,Female,Blanche,R.,Castro,Blue,5 Holly Boulevard,Borough of Queens,NY,10864,US,510-553-1640,blanche6817@gmail.com,767-595-053,NY,2017-01-05,40.6902154746966,-73.8170095766447,False,False,False,False,False
112-92-1770,1962-09-13,Male,S.,C.,Waldron,Hazel,2 Cross Avenue,New York City,NY,10743,US,870-966-6711,s..waldron@gmail.com,258-888-456,NY,2022-01-27,40.8248758130052,-74.2437188680791,False,False,False,False,False
914-01-1278,1965-10-31,Female,Latisha,M.,Arnott,Green,1084 Main Road,Borough of Queens,NY,11221,US,379-252-7674,latisha6588@hotmail.com,499-333-458,NY,2016-07-21,40.6627592578791,-73.9789698490264,False,False,False,False,False
662-23-4925,1946-05-20,Male,Edwin,A.,Robinson,Hazel,6 Park Street,Larchmont,NY,12406,US,515-856-6330,edwin9700@yahoo.com,554-643-640,NY,2018-09-23,40.9278018780776,-73.7514429070538,True,False,False,False,False
778-65-7808,1943-06-03,Female,Mary,Judy,Raval,Hazel,1 County Street,New York City,NY,10155,US,786-986-6260,mary7139@hotmail.com,166-533-206,NY,2020-04-16,40.7741938384663,-74.0627615216374,False,False,False,False,False
253-20-3956,1954-11-07,Female,Rebecca,Y.,Fergusson,Brown,94 Hillside Drive,Manhattan,NY,11737,US,622-252-3703,rebecca.fergusson@gmail.com,507-425-293,NY,2021-07-13,40.7969293596218,-73.9675887041045,True,False,False,False,False
454-91-4911,1938-05-16,Male,Leroy,Habib,Morgan,Blue,24 Market Boulevard,New York City,NY,12928,US,640-261-8808,,398-424-429,NY,2022-05-27,40.5238361259268,-74.125843858446,True,False,False,False,False
115-07-8675,1965-10-22,Female,Afton,Mabel,Banner,Green,17 Oak Boulevard,New York City,NY,14870,US,389-465-1402,afton.banner@gmail.com,,,1900-01-01,40.7659435251171,-74.1079578885727,False,False,False,False,False
535-52-6265,1956-03-29,Male,Lance,Ruben,Quartey,Blue,849 Willow Road,New York City,NY,13663,US,134-104-3907,lance5694@hotmail.com,,,1900-01-01,40.632123110373,-73.9491263492457,False,False,False,True,False
085-88-8591,1936-09-25,Female,Rebecca,Priscilla,Daigle,Gray,13 Marsh Street,Coram,NY,14504,US,156-305-1911,RebeccaDaigle36@gmail.com,139-177-310,NY,2016-08-17,40.869705431433,-73.0010590997402,False,False,False,False,False
352-57-6666,1938-11-09,Male,Joseph,E.,Knight,Brown,3 Second Boulevard,New York City,NY,11087,US,165-886-2776,joseph942@aol.com,426-117-017,NY,2019-11-16,40.6945985906717,-73.9057260370962,True,False,False,False,False
423-00-7271,1964-09-28,Female,T.,A.,Woodend,Blue,1316 Bridge Street,New York City,NY,11698,US,791-295-3229,T.Woodend64@gmail.com,574-726-527,NY,2017-05-14,40.7077191215582,-74.0238839001026,False,False,False,False,False
712-06-4988,1957-06-20,Female,Betsy,J.,Ward,Hazel,16 Park Street,New York City,NY,13827,US,250-981-2276,BetsyWard57@hotmail.com,689-601-979,NY,2023-02-27,40.7394477306688,-74.1113647568406,False,False,False,False,False
605-87-1389,1966-11-27,Male,Stephen,B.,Gonzalez,Brown,49 Green Street,New York City,NY,11201,US,600-168-2114,stephen.gonzalez@mail.com,881-572-913,NY,2018-10-11,40.7785488963753,-74.1827142730665,False,False,False,False,False
871-91-4330,1946-05-03,Female,Eileen,M.,Smith,Blue,622 Broad Road,New York City,NY,14505,US,695-395-0285,EileenSmith46@aol.com,924-917-716,NY,2017-06-06,40.8086389054007,-73.9661361749797,False,False,False,False,False
340-99-3679,1953-01-01,Male,Thomas,Jacob,Ramirez,Brown,1798 Queens Street,Irondequoit,NY,13899,US,294-967-2674,thomas4037@gmail.com,771-293-661,NY,2023-02-13,43.2146656337212,-77.5781652087368,True,True,False,False,False
168-93-8725,1949-07-24,Male,Ryan,J.,Houldsworth,Hazel,257 Park Avenue,New York City,NY,10919,US,642-351-4297,RyanHouldsworth49@gmail.com,154-649-995,NY,2017-05-09,40.7822090671525,-74.1025209527805,True,False,False,False,False
553-56-2372,1970-05-18,Male,Steven,P.,Bruck,Brown,1134 Business Boulevard,New York City,NY,10690,US,141-322-0594,steven7091@outbox.com,123-771-508,NY,2020-01-29,40.729933608386,-73.9621969314227,False,False,False,False,False
976-10-6641,1966-06-20,Male,Nicholas,Lance,Nwachukwu,Blue,31 Church Road,New York City,NY,12140,US,909-837-2435,NicholasNwachukwu66@gmail.com,443-790-966,NY,2022-03-28,40.6917130598208,-74.15276243834,False,False,False,False,False
536-43-1927,1943-08-17,Male,Gary,Munir,Nutbeam,Brown,28 County Street,Kenmore,NY,13170,US,225-912-7990,GaryNutbeam43@outbox.com,309-095-576,NY,2018-12-12,42.9711925229979,-78.8767947446087,True,False,False,False,False
553-29-4677,1977-07-20,Female,M.,R.,Cordey,Blue,257 Green Boulevard,Kenmore,NY,11044,US,191-978-2834,m..cordey@aol.com,964-651-344,NY,2017-01-31,42.9624765454204,-78.8741504329192,False,False,False,False,False
584-88-1016,1964-04-08,Female,Demelza,P.,O'Connor,Brown,203 Oak Street,Kenmore,NY,12147,US,952-241-9206,DemelzaO'Connor64@hotmail.com,433-573-835,NY,2020-05-08,42.9649659558043,-78.8699378062969,False,False,False,False,False
446-03-5557,1945-09-30,Male,Glen,Alvin,Stafford,Blue,7196 College Avenue,White Plains,NY,14114,US,472-388-5811,glen4577@gmail.com,154-609-393,NY,2016-12-28,41.0305493345366,-73.7649977028564,False,True,False,False,False
472-07-3454,1962-08-24,Male,Rodney,C.,Blair,Hazel,3 Poplar Road,Borough of Queens,NY,10340,US,255-404-4012,rodney8708@aol.com,221-457-087,NY,2023-04-21,40.6728105201718,-73.8325500367301,False,True,False,False,False
965-96-0051,1968-11-16,Male,Jeffrey,T.,Rounds,Blue,216 Park Avenue,New York City,NY,10233,US,211-937-1000,jeffrey2953@aol.com,444-026-237,NY,2021-05-13,40.8306330206729,-74.2134303782416,False,False,False,False,False
