ClaimId,ClaimantName,ClaimantSSN,ClaimantDoB,Role,VetName,VetSSN,VetDoB,ClaimFromAddress,ClaimFromLatitude,ClaimFromLongitude,FromTravelDate,FromTravelType,ClaimToAddress,ClaimToLatitude,ClaimToLongitude,ToTravelDate,ToTravelType,Mileage,ItemizedExpenses,TreatmentDate,FacilityName,FacilityAddress,FacilityLatitude,FacilityLongitude,ClaimDate
3000011,Dean K. Grew,874-94-7437,7/7/1949,,Dean K. Grew,874-94-7437,7/7/1949,"7401 W. Clay Street San Diego, CA 92105",40.65647886,-73.71087255,1/22/2016,Bus,"7401 W. Clay Street San Diego, CA 92105",40.65647886,-73.71087255,1/22/2016,Bus,1,Bus fare of $1.32,1/22/2016,VA San Diego Healthcare System,"2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,2/7/2016
3000019,Richard Robert Martinez,177-95-9067,10/14/1953,,Richard Robert Martinez,177-95-9067,10/14/1953,"7401 W. Clay Street San Diego, CA 92105",40.64261506,-73.90257347,2/10/2016,Bus,"7401 W. Clay Street San Diego, CA 92105",40.64261506,-73.90257347,2/10/2016,Bus,8,Bus fare of $8.28,2/10/2016,ASPIRE Center,"2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,2/11/2016
3000024,Elmer G. Stenton,545-16-3919,8/5/1954,,Elmer G. Stenton,545-16-3919,8/5/1954,"236 Richardson Ave San Diego, CA 92115",40.77174542,-74.12986427,2/15/2016,Car,"236 Richardson Ave San Diego, CA 92115",40.77174542,-74.12986427,2/15/2016,Car,54,Mileage charge of $26.79,2/15/2016,Fort Rosecrans National Cemetery,"2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,2/22/2016
3000028,Elmer G. Stenton,545-16-3919,8/5/1954,,Elmer G. Stenton,545-16-3919,8/5/1954,"7202 North Proctor Drive San Diego, CA 92114",40.77174542,-74.12986427,2/21/2016,Bus,"7202 North Proctor Drive San Diego, CA 92114",40.77174542,-74.12986427,2/21/2016,Bus,18,Bus fare of $17.57,2/21/2016,"Intake Site At Marine Corps Air Station, Miramar","2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,2/23/2016
3000018,Joe Stephen Hultgren,779-84-8589,12/27/1943,,Joe Stephen Hultgren,779-84-8589,12/27/1943,"936 Harvard Street, Chula Vista, San Diego, CA 91913",40.68812768,-73.99255451,2/24/2016,Bus,"936 Harvard Street, Chula Vista, San Diego, CA 91913",40.68812768,-73.99255451,2/24/2016,Bus,13,Bus fare of $13.38,2/24/2016,Intake Site At Marine Corps Recruit Depot (MCRD),"2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,2/27/2016
3000020,Miguel Samir Morby,995-22-1742,5/14/1942,,Miguel Samir Morby,995-22-1742,5/14/1942,"4298 Mason St. San Diego, CA 92110",40.67096443,-74.00276379,3/3/2016,Car,"4298 Mason St. San Diego, CA 92110",40.67096443,-74.00276379,3/3/2016,Car,82,Mileage charge of $40.90,3/3/2016,Intake Site At Naval Medical Center San Diego,"2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,3/4/2016
3000033,Muhammad Aaron Leone,522-88-8231,2/1/1948,,Muhammad Aaron Leone,522-88-8231,2/1/1948,"8514 Thorne St. San Diego, CA 92105",40.75170243,-74.02544371,3/3/2016,Bus,"8514 Thorne St. San Diego, CA 92105",40.75170243,-74.02544371,3/3/2016,Bus,22,Bus fare of $22.03,3/3/2016,Miramar National Cemetery,"2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,3/5/2016
3000027,Shaun Kin Lye,301-80-7692,12/26/1941,,Shaun Kin Lye,301-80-7692,12/26/1941,"4191 Home Ave San Diego, CA 92105",42.691721,-73.77616061,2/17/2016,Bus,"4191 Home Ave San Diego, CA 92105",42.691721,-73.77616061,2/17/2016,Bus,6,Bus fare of $5.88,2/17/2016,Mission Valley Clinic,"2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,3/6/2016
3000031,Charles J. Wilkins,260-47-2853,1/21/1952,,Charles J. Wilkins,260-47-2853,1/21/1952,"1903 39th St San Diego, CA 92105",40.66366941,-73.98978045,2/28/2016,Car,"1903 39th St San Diego, CA 92105",40.66366941,-73.98978045,2/28/2016,Car,23,Mileage charge of $11.52,2/28/2016,Rio Clinic,"2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,3/9/2016
3000029,Tom K. Shafique,021-98-7522,6/25/1955,,Tom K. Shafique,021-98-7522,6/25/1955,"6352 Lake Shore Dr San Diego, CA 92119",40.73527551,-73.68776007,2/23/2016,Car,"6352 Lake Shore Dr San Diego, CA 92119",40.73527551,-73.68776007,2/23/2016,Car,12,Mileage charge of $6.01; Parking fees of $10.22,2/23/2016,"San Diego Regional Benefit Office, 8810 Rio San Diego Drive, San Diego, CA 92108","2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,3/10/2016
3000035,Wade William Woods,798-58-4518,2/6/1960,,Wade William Woods,798-58-4518,2/6/1960,"150 Fifth Street San Diego, CA 92114",40.7158344,-73.32123746,3/5/2016,Train,"150 Fifth Street San Diego, CA 92114",40.7158344,-73.32123746,3/5/2016,Train,54,Train fare of $54.03; Taxi fares of $43.71,3/5/2016,San Diego Vet Center,"2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,3/12/2016
3000039,Paul Reginald Welch,071-58-3234,4/21/1945,,Paul Reginald Welch,071-58-3234,4/21/1945,"6647 Mulberry St. San Diego, CA 92115",40.63186923,-73.86207438,3/13/2016,Bus,"6647 Mulberry St. San Diego, CA 92115",40.63186923,-73.86207438,3/13/2016,Bus,9,Bus fare of $8.60,3/13/2016,Sorrento Valley Clinic,"2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,3/18/2016
3000040,Hugh J. Bray,994-27-0594,11/7/1953,,Hugh J. Bray,994-27-0594,11/7/1953,"409 Manhattan Court. San Diego, CA 92115",40.69304636,-73.81217548,3/15/2016,Car,"409 Manhattan Court. San Diego, CA 92115",40.69304636,-73.81217548,3/15/2016,Car,88,Mileage charge of $43.85; Toll fees of $5.70,3/15/2016,VA San Diego Healthcare System,"2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,4/3/2016
3000043,Jesse J. Hopkins,635-48-5526,12/15/1955,,Jesse J. Hopkins,635-48-5526,12/15/1955,"8658 Marlborough Dr. San Diego, CA 92115",40.7566712,-73.77616012,3/21/2016,Bus,"8658 Marlborough Dr. San Diego, CA 92115",40.7566712,-73.77616012,3/21/2016,Bus,11,Bus fare of $10.50,3/21/2016,ASPIRE Center,"2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,4/3/2016
3000041,Marc Roosevelt Stokes,687-29-9331,4/22/1945,,Marc Roosevelt Stokes,687-29-9331,4/22/1945,"823 Bellevue St. San Diego, CA 92105",40.76808233,-73.52490313,3/18/2016,Bus,"823 Bellevue St. San Diego, CA 92105",40.76808233,-73.52490313,3/18/2016,Bus,5,Bus fare of $4.79,3/18/2016,Fort Rosecrans National Cemetery,"2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,4/6/2016
3000047,Joseph C. Robb,720-14-7694,4/23/1946,,Joseph C. Robb,720-14-7694,4/23/1946,"150 Fifth Street San Diego, CA 92114",41.03273251,-73.84273371,3/30/2016,Train,"150 Fifth Street San Diego, CA 92114",41.03273251,-73.84273371,3/30/2016,Train,38,Train fare of $37.81; Taxi fares of $40.30,3/30/2016,"Intake Site At Marine Corps Air Station, Miramar","2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,4/6/2016
3000044,Roy M. Stevens,644-54-6266,2/6/1959,,Roy M. Stevens,644-54-6266,2/6/1959,"89 Olive Drive San Diego, CA 92173",40.69111813,-73.8586087,3/24/2016,Bus,"89 Olive Drive San Diego, CA 92173",40.69111813,-73.8586087,3/24/2016,Bus,11,Bus fare of $10.92,3/24/2016,Intake Site At Marine Corps Recruit Depot (MCRD),"2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,4/8/2016
3000051,Latosha Brianne Wickenden,902-98-8971,11/15/1957,,Latosha Brianne Wickenden,902-98-8971,11/15/1957,"8409 Kerns St, San Diego, CA 92154",40.65110901,-73.92007216,4/7/2016,Bus,"8409 Kerns St, San Diego, CA 92154",40.65110901,-73.92007216,4/7/2016,Bus,11,Bus fare of $10.83,4/7/2016,Intake Site At Naval Medical Center San Diego,"2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,4/8/2016
3000046,Anthony D. Loveridge,994-85-4863,8/7/1941,,Anthony D. Loveridge,994-85-4863,8/7/1941,"566 Nantucket Dr Chula Vista, CA 91911",40.69717881,-73.80571843,3/30/2016,Bus,"566 Nantucket Dr Chula Vista, CA 91911",40.69717881,-73.80571843,3/30/2016,Bus,13,Bus fare of $12.85,3/30/2016,Miramar National Cemetery,"2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,4/11/2016
3000045,Leroy Habib Morgan,454-91-4911,5/16/1938,,Leroy Habib Morgan,454-91-4911,5/16/1938,"566 Nantucket Dr Chula Vista, CA 91911",40.52383613,-74.12584386,3/26/2016,Car,"566 Nantucket Dr Chula Vista, CA 91911",40.52383613,-74.12584386,3/26/2016,Car,36,Mileage charge of $17.80; Parking fees of $10.66,3/26/2016,Mission Valley Clinic,"2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,4/15/2016
3000052,Charles J. Williams,079-03-4657,5/29/1959,,Charles J. Williams,079-03-4657,5/29/1959,"3537 Addison St San Diego, CA 92106",40.81958508,-73.00322378,4/11/2016,Train,"3537 Addison St San Diego, CA 92106",40.81958508,-73.00322378,4/11/2016,Train,61,Train fare of $60.92; Taxi fares of $42.49,4/11/2016,Rio Clinic,"2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,4/16/2016
3000055,James Joseph Dunning,632-15-8982,2/1/1951,,James Joseph Dunning,632-15-8982,2/1/1951,"819 Shadow Brook St. San Diego, CA 92117",40.94914971,-73.97571572,4/15/2016,Bus,"819 Shadow Brook St. San Diego, CA 92117",40.94914971,-73.97571572,4/15/2016,Bus,16,Bus fare of $16.47,4/15/2016,"San Diego Regional Benefit Office, 8810 Rio San Diego Drive, San Diego, CA 92108","2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,4/17/2016
3000057,Jose George South,791-66-4976,10/5/1949,,Jose George South,791-66-4976,10/5/1949,"819 Shadow Brook St. San Diego, CA 92117",40.78820159,-73.97242577,4/20/2016,Bus,"819 Shadow Brook St. San Diego, CA 92117",40.78820159,-73.97242577,4/20/2016,Bus,5,Bus fare of $4.95,4/20/2016,San Diego Vet Center,"2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,4/21/2016
3000049,James Jason Bear,200-38-9496,2/11/1951,,James Jason Bear,200-38-9496,2/11/1951,"7019 Jamacha Rd, San Diego, CA 92114",40.6932009,-73.96937597,4/1/2016,Bus,"7019 Jamacha Rd, San Diego, CA 92114",40.6932009,-73.96937597,4/1/2016,Bus,7,Bus fare of $7.03,4/1/2016,Sorrento Valley Clinic,"2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,4/26/2016
3000059,Robert Daniel Shaffer,331-60-7960,5/23/1950,,Robert Daniel Shaffer,331-60-7960,5/23/1950,"4146 Miller Road San Diego, CA 92103",40.73075486,-73.68962987,4/23/2016,Car,"4146 Miller Road San Diego, CA 92103",40.73075486,-73.68962987,4/23/2016,Car,32,Mileage charge of $15.90; Parking fees of $11.86,4/23/2016,VA San Diego Healthcare System,"2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,4/27/2016
3000061,Jose N. Hall,004-12-0947,3/21/1957,,Jose N. Hall,004-12-0947,3/21/1957,"631 Port Dunbar Chula Vista, CA 91913",40.77440852,-74.03618674,4/29/2016,Car,"631 Port Dunbar Chula Vista, CA 91913",40.77440852,-74.03618674,4/29/2016,Car,87,Mileage charge of $43.29; Toll fees of $6.37,4/29/2016,ASPIRE Center,"2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,4/30/2016
3000053,Don M. Thompson,407-17-8210,1/7/1943,,Don M. Thompson,407-17-8210,1/7/1943,"3534 Yosemite St, San Diego, CA 92109",40.706835,-73.96532902,4/12/2016,Bus,"3534 Yosemite St, San Diego, CA 92109",40.706835,-73.96532902,4/12/2016,Bus,3,Bus fare of $2.92,4/12/2016,Fort Rosecrans National Cemetery,"2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,5/1/2016
3000058,Jonathan Eric Guerra,815-02-7024,3/27/1946,,Jonathan Eric Guerra,815-02-7024,3/27/1946,"50 E. Henry Lane San Diego, CA 92114",41.08273083,-74.01853068,4/20/2016,Train,"50 E. Henry Lane San Diego, CA 92114",41.08273083,-74.01853068,4/20/2016,Train,46,Train fare of $45.58,4/20/2016,"Intake Site At Marine Corps Air Station, Miramar","2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,5/13/2016
3000042,Barry P. Gowen,105-64-1169,11/11/1945,,Barry P. Gowen,105-64-1169,11/11/1945,"78 Pumpkin Hill Ave. San Diego, CA 92114",40.66453002,-73.81046963,3/20/2016,Car,"78 Pumpkin Hill Ave. San Diego, CA 92114",40.66453002,-73.81046963,3/20/2016,Car,27,Mileage charge of $13.34,3/20/2016,Intake Site At Marine Corps Recruit Depot (MCRD),"2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,5/18/2016
3000062,Barry P. Gowen,105-64-1169,11/11/1945,,Barry P. Gowen,105-64-1169,11/11/1945,"5061 Gardena Ave, San Diego, CA 92110",40.66453002,-73.81046963,4/29/2016,Train,"5061 Gardena Ave, San Diego, CA 92110",40.66453002,-73.81046963,4/29/2016,Train,59,Train fare of $58.75; Taxi fares of $33.31,4/29/2016,Intake Site At Naval Medical Center San Diego,"2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,5/29/2016
3000078,Betty Theresa Begum,995-49-9192,3/29/1933,,Betty Theresa Begum,995-49-9192,3/29/1933,"819 Shadow Brook St. San Diego, CA 92117",40.56016266,-74.02690667,5/30/2016,Bus,"819 Shadow Brook St. San Diego, CA 92117",40.56016266,-74.02690667,5/30/2016,Bus,7,Bus fare of $7.44,5/30/2016,Miramar National Cemetery,"2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,6/1/2016
3000074,Roy M. Stevens,644-54-6266,2/6/1959,,Roy M. Stevens,644-54-6266,2/6/1959,"150 Fifth Street San Diego, CA 92114",40.69111813,-73.8586087,5/23/2016,Car,"150 Fifth Street San Diego, CA 92114",40.69111813,-73.8586087,5/23/2016,Car,44,Mileage charge of $22.03; Parking fees of $8.29,5/23/2016,Mission Valley Clinic,"2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,6/3/2016
3000081,George J. Whiting,879-69-1385,8/11/1949,,George J. Whiting,879-69-1385,8/11/1949,"6610 Canopy Ridge Ln San Diego,�CA�92121",43.05099493,-76.11807746,6/5/2016,Bus,"6610 Canopy Ridge Ln San Diego,�CA�92121",43.05099493,-76.11807746,6/5/2016,Bus,3,Bus fare of $3.12,6/5/2016,Rio Clinic,"2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,6/6/2016
3000082,Gary Munir Nutbeam,536-43-1927,8/17/1943,,Gary Munir Nutbeam,536-43-1927,8/17/1943,"878 N Valley View Dr Chula Vista, CA 91914",42.97119252,-78.87679474,6/7/2016,Car,"878 N Valley View Dr Chula Vista, CA 91914",42.97119252,-78.87679474,6/7/2016,Car,27,Mileage charge of $13.46,6/7/2016,"San Diego Regional Benefit Office, 8810 Rio San Diego Drive, San Diego, CA 92108","2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,6/10/2016
3000076,Charles Donald Dowell,267-53-3574,10/28/1960,,Charles Donald Dowell,267-53-3574,10/28/1960,"6267 Calle Pavana San Diego, CA 92139",42.90358667,-78.75491654,6/8/2016,Car,"6267 Calle Pavana San Diego, CA 92139",42.90358667,-78.75491654,6/8/2016,Car,15,Mileage charge of $7.35,6/8/2016,San Diego Vet Center,"2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,6/14/2016
3000090,George J. Whiting,879-69-1385,8/11/1949,,George J. Whiting,879-69-1385,8/11/1949,"85 Trusel Avenue San Diego, CA 92117",43.05099493,-76.11807746,6/23/2016,Bus,"85 Trusel Avenue San Diego, CA 92117",43.05099493,-76.11807746,6/23/2016,Bus,3,Bus fare of $3.12,6/23/2016,Sorrento Valley Clinic,"2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,6/24/2016
3000067,Roy T. Bhudia,176-78-5914,11/28/1952,,Roy T. Bhudia,176-78-5914,11/28/1952,"85 Trusel Avenue San Diego, CA 92117",40.81023575,-74.11336119,6/10/2016,Train,"85 Trusel Avenue San Diego, CA 92117",40.81023575,-74.11336119,6/10/2016,Train,59,Train fare of $58.67; Taxi fares of $42.47,6/10/2016,VA San Diego Healthcare System,"2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,6/25/2016
3000086,Sam J. Higton,491-41-6190,12/23/1934,,Sam J. Higton,491-41-6190,12/23/1934,"1925 Willow St San Diego, CA 92106",40.69988025,-73.64957038,6/18/2016,Bus,"1925 Willow St San Diego, CA 92106",40.69988025,-73.64957038,6/18/2016,Bus,9,Bus fare of $9.03,6/18/2016,ASPIRE Center,"2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,6/25/2016
3000091,Richard A. Thomas,783-90-6526,3/30/1953,,Richard A. Thomas,783-90-6526,3/30/1953,"85 Trusel Avenue San Diego, CA 92117",40.75791316,-74.07392907,6/24/2016,Car,"85 Trusel Avenue San Diego, CA 92117",40.75791316,-74.07392907,6/24/2016,Car,18,Mileage charge of $9.03,6/24/2016,Fort Rosecrans National Cemetery,"2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,6/29/2016
3000093,George R. Ghani,685-17-8206,6/7/1939,,George R. Ghani,685-17-8206,6/7/1939,"4878 E Mountain View Dr San Diego, CA 92116",40.66584119,-73.65256953,6/27/2016,Car,"4878 E Mountain View Dr San Diego, CA 92116",40.66584119,-73.65256953,6/27/2016,Car,40,Mileage charge of $19.90,6/27/2016,"Intake Site At Marine Corps Air Station, Miramar","2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,6/30/2016
3000095,Michael M. Shapter,616-45-0192,12/24/1945,,Michael M. Shapter,616-45-0192,12/24/1945,"5830 Pawnee Dr La Mesa, CA 91942",40.64177269,-73.96062495,6/30/2016,Car,"5830 Pawnee Dr La Mesa, CA 91942",40.64177269,-73.96062495,6/30/2016,Car,70,Mileage charge of $34.79,6/30/2016,Intake Site At Marine Corps Recruit Depot (MCRD),"2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,7/3/2016
3000088,Jane Heidi Robinson,384-61-8555,5/31/1955,,Jane Heidi Robinson,384-61-8555,5/31/1955,"4556 Ocean View Blvd San Diego, CA 92113",40.52530223,-73.92872756,6/21/2016,Car,"4556 Ocean View Blvd San Diego, CA 92113",40.52530223,-73.92872756,6/21/2016,Car,30,Mileage charge of $15.21,6/21/2016,Intake Site At Naval Medical Center San Diego,"2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,7/6/2016
3000099,Donald M. Lewis,456-08-0680,8/7/1944,,Donald M. Lewis,456-08-0680,8/7/1944,"150 Fifth Street San Diego, CA 92114",40.80049358,-73.97791359,7/8/2016,Bus,"150 Fifth Street San Diego, CA 92114",40.80049358,-73.97791359,7/8/2016,Bus,16,Bus fare of $16.42,7/8/2016,Miramar National Cemetery,"2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,7/12/2016
3000100,Daniel M. Humphries,235-95-5912,10/3/1942,,Daniel M. Humphries,235-95-5912,10/3/1942,"85 Trusel Avenue San Diego, CA 92117",40.78348405,-73.96627575,7/11/2016,Car,"85 Trusel Avenue San Diego, CA 92117",40.78348405,-73.96627575,7/11/2016,Car,72,Mileage charge of $36.15; Parking fees of $11.73; Toll fees of $2.73,7/11/2016,Mission Valley Clinic,"2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,7/12/2016
3000103,Charles Christopher Bainton,789-53-8095,12/21/1943,,Charles Christopher Bainton,789-53-8095,12/21/1943,"3566 L St San Diego, CA 92102",40.48002729,-73.98946665,7/13/2016,Car,"3566 L St San Diego, CA 92102",40.48002729,-73.98946665,7/13/2016,Car,28,Mileage charge of $13.78,7/13/2016,Rio Clinic,"2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,7/14/2016
3000096,John William Burt,919-78-2296,5/23/1940,,John William Burt,919-78-2296,5/23/1940,"1679 Logan Ave San Diego, CA 92113",40.71182009,-73.91917044,7/1/2016,Bus,"1679 Logan Ave San Diego, CA 92113",40.71182009,-73.91917044,7/1/2016,Bus,5,Bus fare of $5.03,7/1/2016,"San Diego Regional Benefit Office, 8810 Rio San Diego Drive, San Diego, CA 92108","2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,7/18/2016
3000101,Marcus C. Zamarripa,486-25-3621,8/8/1950,,Marcus C. Zamarripa,486-25-3621,8/8/1950,"4146 Bedford Dr San Diego, California",43.08465048,-76.1748649,7/12/2016,Car,"4146 Bedford Dr San Diego, California",43.08465048,-76.1748649,7/13/2016,Car,90,Mileage charge of $45.04; Meal bill of $31.12; Hotel bill of $84.90,7/12/2016,San Diego Vet Center,"2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,7/25/2016
